iter,time,reward,steps,shape
111,0.013400614000000005,98.52,3.48,2
188,0.04018603300000001,95.52,6.48,3
313,0.03742979700000004,92.67,9.33,4
484,0.06722536000000012,90.38,11.62,5
499,0.11045796199999991,84.67,17.33,7
1079,0.1677207570000001,76.17,25.83,10
2008,0.5405756740000003,62.18,39.82,15
2301,0.9365717359999994,49.02,52.98,20
2701,1.2142183119999999,36.9,65.1,25
3168,1.9938265579999985,20.93,81.07,30
4454,3.295162696999995,9.79,92.21,35
5299,4.776454638000004,-4.66,106.66,40
43,0.3318750979999976,-3999.0,4000.0,50
