iter,time,reward,steps,convergence
1,0.0002009249999943563,-285.92,173.36,105.138
2,0.0006018389999908891,-186.92,168.58,102.366
3,0.0009532399999940822,-197.96,176.52,106.75585799999999
4,0.001514673999999161,-116.9,113.84,114.14658617999999
5,0.0017037410000000364,-131.54,118.54,111.27456985955503
6,0.0020155369999983463,-130.68,133.48,112.64959994873534
7,0.002139059000000998,-43.04,91.38,111.6484484885613
8,0.0025900140000061356,-139.48,147.44,110.4469216849413
9,0.002730294000009792,-40.28,86.44,106.87347847237038
10,0.002953234000010241,-50.06,88.04,103.30485319317438
11,0.0032420500000114316,-14.66,49.68,94.52443189488042
12,0.0032843760000176303,8.34,41.14,95.76008102844341
13,0.0033998430000181656,2.26,45.72,89.36587757745332
14,0.0034797580000187622,60.08,25.4,89.68231529875564
15,0.0035166460000155553,70.28,22.64,84.48986982669228
16,0.003573197000015682,8.36,78.28,90.50435226145063
17,0.003732610000014347,66.56,22.64,92.90005153295604
18,0.0037701690000204735,46.92,40.3,88.86321704463467
19,0.0038422280000176556,27.0,63.02,98.6112021209958
20,0.003915806000016175,-194.04,194.24,109.40538530762998
21,0.004057685000013578,-197.4,198.1,118.7527684661095
22,0.004268835000011961,-22.22,99.2,127.41391640077033
23,0.004417270000011797,-295.52,171.1,136.6891600843338
24,0.0046425330000090526,-0.02,69.18,132.00100205953675
25,0.004696757000012042,-19.7,92.74,144.71134026339212
26,0.005211298000013187,-134.54,78.32,142.39319709313952
27,0.005310993000009034,-103.48,142.0,144.82162088020644
28,0.005393832000009979,61.02,37.26,142.06441424249954
29,0.005433127000010529,41.72,42.02,127.28146733829753
30,0.005656321000010678,-39.46,90.32,115.4906598302633
31,0.005719072000012204,-23.3,70.36,107.69750254066199
32,0.005942242000010367,-33.32,60.08,96.7033118492081
33,0.0060117710000042734,-27.4,86.4,95.18281338972285
34,0.006168563000002791,-263.44,78.76,93.75329851004452
35,0.006334482999996283,-173.12,164.26,97.2074220986974
36,0.006401937999996221,-335.52,181.86,91.14568367377147
37,0.006547888999996587,56.1,26.34,79.01087808757207
38,0.006602217999997606,-53.06,117.08,83.56679254554521
39,0.0067152290000009884,-132.68,148.34,93.98499253302893
40,0.006954714000002582,-125.82,156.86,96.67726221575322
41,0.007211989000005303,-20.42,106.66,91.47282635886867
42,0.007434586000002241,-286.38,185.14,87.56490809173843
43,0.007510364000005154,-31.48,81.4,73.95902065529403
44,0.007592089000006297,-25.4,67.62,65.16578558185446
45,0.0076396640000027105,52.64,40.18,50.25076957739479
46,0.007729949000001568,-203.32,199.96,49.47873625974483
47,0.007891610999998022,-203.22,198.46,63.06849539274723
48,0.00841909699999377,-135.22,153.06,63.356259685355404
49,0.008712547999991216,-53.08,107.72,60.53516566542127
50,0.008908967999985862,-185.7,172.34,60.57337028929574
51,0.00905713899998517,52.94,33.6,58.73054315310005
52,0.009121101999987502,44.6,40.06,62.572087878108505
53,0.009264710999985937,67.14,21.96,77.76541430616328
54,0.009305949999983909,-187.58,169.64,84.88102612675826
55,0.009947205999985442,-313.94,188.88,86.66574742122525
56,0.010585551999987786,-216.82,148.92,85.15029618084164
57,0.010772304999989046,49.92,39.66,75.5956294489447
58,0.011059258999985389,-261.28,149.36,78.51788448933551
59,0.01136044499997979,-25.72,65.24,78.91537058027569
60,0.011594997999978318,-202.64,139.32,79.24789352469796
61,0.011784000999973898,-3.12,46.06,84.06871221584295
62,0.01234332599997856,35.88,46.22,86.24509541083644
63,0.012440301999973258,-10.04,80.94,71.15235357684944
64,0.012510397999974998,67.32,24.34,67.91726635222307
65,0.012829435999975658,-234.62,193.96,80.68817191156249
66,0.01315468799997177,-100.8,122.14,82.93201529647442
67,0.013319207999970217,-10.16,103.18,84.52620255873907
68,0.013956705999966346,-458.38,198.66,83.94212892813216
69,0.014098269999962554,-81.78,117.86,83.54185086259766
70,0.014146660999962535,-29.66,96.82,80.2873547904412
71,0.014269266999967556,59.94,30.82,78.87924846969729
72,0.014309254999965049,58.16,31.82,75.20553371561667
73,0.014353171999964331,76.56,20.32,74.25724917084598
74,0.014416385999965087,-61.2,111.64,78.65489677612759
75,0.014591223999964598,34.08,58.12,68.69926301176707
76,0.014682829999969726,-180.8,168.72,68.35237980029646
77,0.014837321999969788,-8.84,65.58,67.22924076164415
78,0.014902779999964366,44.58,33.96,65.25260388158662
79,0.01494597699996092,66.64,21.16,70.81495295526796
80,0.015006381999960183,73.06,22.32,66.7615605963156
81,0.015051568999957965,77.14,21.38,62.61241785891697
82,0.015100707999962992,17.8,38.82,67.88166567937432
83,0.01518479299996045,-36.48,73.84,71.36397624656071
84,0.015241532999958451,64.36,22.52,63.831501592506754
85,0.015289016999957994,37.14,41.0,59.22561241154227
86,0.015337766999955704,11.72,63.2,51.71546806516339
87,0.015407373999956064,61.8,27.26,49.98346518236433
88,0.0154658349999508,49.44,39.66,52.862613351277744
89,0.015509350999948879,-86.42,113.78,47.85423964632791
90,0.01555891299994272,28.68,47.72,55.63675122304477
91,0.01567342499994595,-52.18,115.1,55.54456582224505
92,0.01587455899994694,28.12,42.68,48.93215571409304
93,0.01603114299994246,-250.22,199.06,53.28196776658812
94,0.01622143399993803,22.5,51.24,56.619804805204254
95,0.016288704999936954,29.94,28.3,54.05509846931676
96,0.0163428359999358,46.24,25.14,53.81702978987363
97,0.01641813699993122,34.6,46.0,60.925074265583135
98,0.016463664999932348,-161.94,133.68,56.690948661476
99,0.016525531999931786,50.48,38.72,55.260169382438484
100,0.016628308999926844,-142.46,171.72,54.549256819468084
101,0.01680864999993048,-195.7,196.68,56.572538100729204
102,0.017010428999924443,-296.86,188.36,61.16534266530765
103,0.017438089999927797,-203.28,193.82,62.73498367504669
104,0.017739395999925023,-234.04,177.8,59.11117227598943
105,0.018041006999922615,-183.32,180.42,70.76131917857467
106,0.018296909999918398,-200.08,186.18,79.30705866771555
107,0.018546475999912104,-105.3,123.44,71.0255040614217
108,0.018693522999910783,-235.38,184.56,79.1421453861013
109,0.019002765999907467,-74.82,104.16,80.56671316269521
110,0.019111733999906733,-49.84,119.86,80.24730532258972
111,0.019235500999904787,35.9,59.14,83.82085014591703
112,0.01934077999990791,49.56,46.06,79.61752506100599
113,0.019427335999907314,76.2,22.9,70.1988183063426
114,0.019494108999907667,58.66,36.96,68.74470987243724
115,0.019560934999908852,6.96,55.6,60.875525923822316
116,0.019639028999911545,-15.96,59.52,59.12827487311341
117,0.019690738999912583,50.02,43.96,60.2921452588222
118,0.019751044999914313,-9.28,73.36,51.74067399167107
119,0.019837536999915528,66.8,25.68,45.235574895986076
120,0.019984040999915464,-60.8,69.52,51.36622698552346
121,0.020105900999915605,-121.22,131.26,50.92667924252713
122,0.020385649999909106,-22.56,106.44,53.43050747319138
123,0.02045327599990543,-185.34,191.22,57.28377978810325
124,0.02061342999990501,-101.14,150.3,61.22066725716115
125,0.02069431699990787,-184.96,189.66,59.729592025371815
126,0.020801889999901846,-103.12,130.12,54.97387997416043
127,0.02086106199990212,-310.04,185.68,56.25950420166422
128,0.020930274999898302,23.16,41.82,54.56827847021972
129,0.021090434999898378,52.94,41.86,54.16407377013326
130,0.021146382999894797,-20.16,99.64,43.074445930066105
131,0.02125727299989677,16.28,80.52,38.956867788733675
132,0.02141205199989571,68.26,25.96,34.19055163325657
133,0.021463826999891467,-4.16,73.46,30.126436243904788
134,0.021498805999897286,51.14,42.74,28.747997991506487
135,0.0221924099998958,1.48,74.74,29.73781621895076
136,0.02225180099989643,59.46,29.3,29.43454036060558
137,0.02231657799989506,14.62,45.62,29.599711951877975
138,0.02240855199989511,-17.7,89.3,33.023674784878345
139,0.022460749999893892,31.76,63.0,36.70223561709845
140,0.022555156999892745,47.54,46.1,36.4426195381231
141,0.02259645199989535,60.94,35.84,37.06539519922525
142,0.022690632999889715,-77.28,113.28,40.986009188946696
143,0.022795474999888654,56.54,38.84,48.70730656216074
144,0.02290466099988464,-60.92,102.72,48.41630570618347
145,0.02297232499988411,-16.34,76.88,51.85701701357863
146,0.023057873999881906,78.42,20.68,56.960541731873796
147,0.02311210199987812,52.28,38.46,51.72811509480105
148,0.02329249399987532,23.18,52.26,52.814192680214774
149,0.023335969999870088,-21.72,89.3,47.489285544631095
150,0.023595268999869745,-132.32,149.76,49.41599401021733
151,0.023669684999866547,-53.88,113.82,50.42271131568877
152,0.023718439999868224,-123.34,146.08,46.30970363336588
153,0.023809728999864888,2.9,75.4,39.182676588879005
154,0.024221776999858946,-227.36,192.5,40.336464177737945
155,0.024320530999858647,-158.86,180.34,38.14755421592908
156,0.02438972899985714,-101.66,149.68,33.0011507204218
157,0.024568076999855748,-0.7,92.0,35.55461105928467
158,0.024710199999859128,-183.84,176.02,29.390801806499372
159,0.024841637999855948,-26.7,111.06,30.567209423416188
160,0.024964896999854602,45.18,52.76,28.37346889737094
161,0.025037583999854007,63.06,37.78,26.48657098964059
162,0.02510843999985468,75.1,22.26,28.102796576181788
163,0.025178195999856712,38.34,41.04,31.552871978702438
164,0.025258061999856807,-70.08,120.08,28.44957055271478
165,0.025322509999860188,75.76,21.36,25.03334219886323
166,0.025364211999864494,24.1,70.96,23.50189641212038
167,0.025479008999866437,-39.08,107.06,27.17220878520478
168,0.025673832999864032,-38.24,108.52,29.879822339868088
169,0.025739831999864293,13.68,74.94,29.576030017212105
170,0.025815347999866844,21.56,67.64,34.22353730703453
171,0.02587787699987132,15.5,71.72,33.26021685165964
172,0.02598334699987248,-46.92,117.68,37.121976701903364
173,0.026043074999876126,-178.2,172.66,34.61285720668841
174,0.026128910999879906,77.52,21.0,33.34819822622766
175,0.026605282999881297,-204.8,200.0,34.794646913101204
176,0.026701641999878234,-106.56,154.54,36.76199807208896
177,0.026982483999880458,-194.74,160.96,32.44336910667472
178,0.027183738999880802,-230.98,181.96,30.646913923484448
179,0.027367194999882827,-62.26,80.28,32.76417199932542
180,0.027912074999882464,11.96,53.5,30.719694149909213
181,0.028000503999884074,75.34,23.76,30.93820000789598
182,0.028056498999887935,76.96,22.14,29.084380087426375
183,0.028104100999890136,71.12,23.68,29.089232987322788
184,0.028168894999893723,-125.08,157.1,30.74764865035482
185,0.02833300699989394,-202.36,198.42,33.18322981425049
186,0.028528542999893602,-46.52,122.6,32.09498212152015
187,0.0286785619998966,-420.02,188.92,37.49560969857719
188,0.02881509499989221,-186.6,160.4,38.891452238016086
189,0.02886405299989292,21.94,75.14,38.92566803054633
190,0.02896556699989361,19.52,51.16,36.425035898742365
191,0.029049666999888757,30.9,33.4,41.369566822644245
192,0.029090548999889165,44.92,51.86,41.0658269290734
193,0.029192175999888548,25.28,70.68,42.240384744278536
194,0.02924821199989225,76.9,20.22,44.22672050711514
195,0.029297695999893847,75.5,21.04,39.07803905918744
196,0.029340401999888854,70.42,22.06,39.094086687550664
197,0.02939152999988437,79.4,20.86,33.86557979767108
198,0.029442677999888645,78.26,21.42,32.32415856805032
199,0.02948920199989402,77.68,20.6,28.827724472399865
200,0.02953833199989475,78.76,20.92,26.67378949542398
201,0.029600113999897815,78.4,20.12,21.474694975163143
202,0.029685847999893156,38.36,59.92,21.581906721973237
203,0.02972843999989294,-148.32,172.72,19.376066211526656
204,0.02992015999989661,12.52,66.96,22.66450140860077
205,0.030044877999898745,52.96,33.96,23.356184787316757
206,0.0300878239998994,-303.68,115.58,26.074344566685017
207,0.030186730999893996,7.14,80.94,25.25190138184295
208,0.030240461999895274,19.62,72.3,23.440918255920856
209,0.030301222999895572,52.28,41.7,23.797927319134104
210,0.030428923999899382,-98.3,115.04,25.533018608168682
211,0.03068154699990089,-186.04,180.56,32.507323356395794
212,0.030772430999903122,37.44,59.68,32.58342063365878
213,0.030829292999904112,-136.62,153.6,33.10117860565784
214,0.03087689099990598,39.76,57.32,26.541298739072694
215,0.03092677899990548,42.86,54.5,27.729554319064267
216,0.03102211599990312,-116.46,154.66,28.305794612491656
217,0.031163399999904584,-137.68,140.16,31.177542312429125
218,0.03127129899990422,-69.14,124.86,33.52594495367749
219,0.03151478599990298,46.16,50.62,36.07587158801676
220,0.03168524399990247,-92.22,141.1,39.72724937275024
221,0.0317754669999033,-136.16,163.66,36.94731299193681
222,0.031866265999902055,-107.24,123.3,36.63905931339622
223,0.03229476299989642,-179.5,179.22,36.76073696434129
224,0.03243790999989926,-22.82,89.76,37.98388995188516
225,0.032779889999901,-68.46,140.42,43.7998227741805
226,0.03284247399989937,-161.52,183.86,51.97274932967588
227,0.03290746699990166,-301.76,192.52,51.224696535134214
228,0.03305798199990306,17.0,72.58,50.174206536358284
229,0.03318919499989903,56.28,38.86,50.047661140378054
230,0.03324711799989899,49.82,31.3,48.30452966964491
231,0.03331553999990433,47.82,31.08,47.600571763081284
232,0.03337222299990117,-26.7,90.74,49.15946088176004
233,0.033599484999896845,0.86,50.3,53.71785903647964
234,0.03397142099989736,-122.74,144.08,53.38755720733032
235,0.034088691999897947,-104.68,97.62,50.80407701354235
236,0.034293190999896694,-221.64,192.72,43.33025041110488
237,0.03456043699989664,-176.62,180.04,47.13318267620912
238,0.03491980499990177,-397.38,195.34,48.718199897514495
239,0.03518877999989911,-206.9,165.58,49.49802790677013
240,0.03530793099989893,-295.58,193.06,48.64461144209742
241,0.03552015999989777,32.76,52.42,48.206056107954836
242,0.035584601999900656,9.24,69.56,44.522532694051186
243,0.03564893099990485,46.78,34.1,39.43929178405516
244,0.03569799699990739,26.16,47.86,41.271582080254035
245,0.0357402989999116,21.42,40.56,39.200566980739595
246,0.03599525899991107,36.44,56.86,36.97549989319914
247,0.03606233499991163,56.1,36.96,33.47544388700038
248,0.03613824899991158,-6.68,93.66,32.77499426907498
249,0.03618594099990702,-1.66,96.44,31.39950474517452
250,0.03635881799991125,11.72,82.18,35.95214120936275
251,0.0364421589999111,36.2,43.28,38.123852636850785
252,0.03653177299990773,-163.1,131.26,39.1542705366832
253,0.03677004499990488,48.98,35.96,41.642761774065576
254,0.03683627099990616,15.82,59.02,41.73837778088476
255,0.03696829299990867,25.7,49.62,41.39179428015741
256,0.037046454999909884,60.58,34.22,44.40280899606441
257,0.03713617099990785,53.88,43.24,41.20629431658621
258,0.03724578899990405,52.86,28.84,40.8671856255621
259,0.03732839499990348,60.74,36.04,39.33091034796468
260,0.037385018999906094,42.16,43.8,40.19360800710606
261,0.03744556499990637,22.18,58.66,40.567950412118975
262,0.03751688399990627,72.28,25.08,41.86943823920349
263,0.037583493999903794,67.6,25.12,39.138789384496675
264,0.037639485999903854,68.16,24.9,39.537209392784995
265,0.03770151699990265,-1.42,72.46,38.87217246662194
266,0.03781271599990532,14.66,60.66,35.94032075341306
267,0.037989474999903905,-133.18,157.62,36.592932769846186
268,0.03807466099990364,-73.56,116.5,35.44407316312941
269,0.03819193299990076,62.96,35.56,37.285007070600976
270,0.03836896899989739,-378.06,198.38,29.560590471699093
271,0.03859797799989195,-112.16,101.22,24.544660552737223
272,0.03925555899989064,18.16,54.26,26.14478536690506
273,0.03937069999989262,-2.5,47.08,30.244336054536006
274,0.03953523199989206,-150.64,98.72,31.998619709733
275,0.039701978999893583,77.78,20.74,30.547101892285646
276,0.03977083599989584,71.4,22.82,27.94606283980457
277,0.03982292999989312,70.02,23.04,33.66838183571182
278,0.039890173999893364,57.66,37.14,33.104385153241914
279,0.0399377189998944,-70.7,90.66,37.898881340861784
280,0.04006678499989391,20.66,64.04,43.96952616584376
281,0.040150400999891644,59.02,40.08,44.449596393753794
282,0.04019448299989392,61.7,36.24,38.93981615818499
283,0.04026096799989176,58.82,40.04,38.34918655871426
284,0.040311533999890514,55.06,39.16,33.8826685147287
285,0.04035768899989023,7.84,84.94,33.53041576234439
286,0.0404146329998909,52.78,29.5,37.67028808441143
287,0.0404750329998933,48.64,29.58,33.40478046308622
288,0.04052690599989006,-29.44,66.48,35.17863560431499
289,0.04067338299989132,7.16,52.6,35.43443752887304
290,0.04073003799988584,74.96,20.66,31.933880086427017
291,0.04080886399988515,49.12,47.08,33.348080558687556
292,0.04090117799988491,49.84,47.52,33.608279313099445
293,0.04098372899988334,-74.08,92.9,29.70515418829755
294,0.04104912299988683,-56.28,95.96,31.429760626165184
295,0.04110158599988978,-31.76,59.86,32.54165143782767
296,0.04119840599988578,-37.64,83.38,28.12727673351079
