iter,time,reward,steps,convergence
1,0.009877331,-218.88,196.7,79.73400000000001
2,0.017757970999999984,-172.3,186.56,66.08549892384
3,0.020826628999999208,24.04,57.38,40.4461057522787
4,0.023524433999999594,-38.16,101.06,31.8175012974476
5,0.026717933999999666,46.04,45.38,27.159577890261712
6,0.029262258999999347,63.6,21.54,26.048813457125984
7,0.03179840899999942,74.1,23.02,22.1600163535449
8,0.034281108999999255,74.56,22.56,19.291917749149338
9,0.03668502999999923,76.68,23.0,18.606046124949927
10,0.03896001099999946,73.54,22.76,17.261539442408147
11,0.045793893999999113,75.08,23.44,14.647513417742694
12,0.05122608199999945,76.56,23.7,10.477503014648704
13,0.05344597599999901,75.38,22.9,6.718399315709334
14,0.05591543999999882,76.5,21.44,4.067580563895071
15,0.058428386999998416,80.34,19.92,3.475479991600011
16,0.06381509699999821,76.62,19.92,2.3585516061074827
17,0.06603848699999837,80.88,20.54,2.037530434129806
18,0.07149683099999837,75.98,20.22,1.425630137103596
19,0.07685127599999841,76.52,21.18,0.8542093356131133
20,0.08225635599999848,77.82,21.28,0.4764709957128801
21,0.0877483409999984,79.9,19.78,0.2548125020140901
22,0.09702300499999872,79.14,19.96,0.13251981036478355
23,0.10342015599999854,74.82,20.56,0.06757647989131499
24,0.10892451399999814,78.4,20.7,0.03397106163412644
25,0.11447932799999805,77.64,20.88,0.0168996774721748
26,0.12004616199999774,79.36,20.32,0.008343152667656284
27,0.12584446399999827,79.82,20.44,0.004096351202584003
28,0.13414276999999775,79.92,20.34,0.0020035420114794533
29,0.13947717699999806,78.8,20.3,0.0009774424376729485
30,0.14479822499999795,79.24,19.86,0.00047610932564623454
31,0.15020648799999758,72.38,21.02,0.00023172704270990607
32,0.1557710299999977,79.24,20.44,0.00011275964101997715
33,0.1611431209999976,76.14,20.98,5.488155771615766e-05
