iter,time,reward,steps,convergence
1,0.08295347600000014,-299.0,300.0,83.8935897024
2,0.18354879299999993,-299.0,300.0,64.54686087413022
3,0.2767568790000041,-299.0,300.0,64.90673884942785
4,0.3656500139999963,-305.45,300.0,67.83323384596528
5,0.45592649599998936,-272.2,273.94,60.87845495897756
6,0.547285054999989,-15.81,73.92,60.7016413912996
7,0.6366587109999955,-0.24,55.68,58.70698195960334
8,0.7350486249999904,4.7,56.91,57.517847619578156
9,0.8242526279999822,3.82,56.59,44.63915155156195
10,0.9138231869999771,10.9,62.06,39.262861106664595
11,1.0035205639999702,12.31,64.19,8.458157207283652
12,1.0963563919999757,13.22,64.15,6.964750719537273
13,1.179445816999987,13.15,64.36,5.4104131000230264
14,1.2541643519999752,12.95,64.48,3.5440549662178444
15,1.3136534619999765,9.84,64.8,1.5368937647016754
16,1.3264234999999758,9.71,63.19,0.00029258457319869535
17,1.3494867549999725,13.56,64.38,0.00010062078039219102
18,1.3616963879999702,13.56,62.97,3.601798061936279e-05
19,1.3740483129999745,12.65,63.54,1.3362076968448378e-05
20,1.3863722039999686,14.25,64.03,5.113636193598836e-06
21,1.3987004749999699,8.82,64.26,2.0096321744489387e-06
22,1.4110016519999817,15.57,62.97,8.077490267766052e-07
