iter,time,reward,steps,convergence
1,0.0013948609999943073,-1472.1,773.74,91.06
2,0.002953955000066344,-1120.55,789.86,83.12
3,0.004494868000051611,-1059.96,795.72,75.18
4,0.006086321000111639,-1018.35,797.26,67.24000000000001
5,0.007629474000168557,-1000.79,793.77,58.036000000000016
6,0.00916697000025124,-811.25,800.0,48.14117296962776
7,0.010704805000273154,-799.0,800.0,38.2411734096542
8,0.012234249000243835,-799.0,800.0,28.34117463066749
9,0.013755987000308778,-799.0,800.0,18.441189250184966
10,0.015277917000389607,-799.0,800.0,8.541198301332892
11,0.016790969000453515,-799.0,800.0,6.581198632826417
12,0.01831019600047057,-799.0,800.0,4.621198682610493
13,0.01983338100058063,-799.0,800.0,2.661198735064289
14,0.021368831000586397,-799.0,800.0,0.7012026074676413
15,0.023067394000577224,-799.0,800.0,0.005204934237502812
