iter,time,reward,steps,convergence
1,0.051209714,-303.84,300.0,83.8967521584
2,0.10313246600000003,-299.0,300.0,62.92258233067285
3,0.12582178099999997,-299.0,300.0,40.84734400396159
4,0.14361136499999994,-299.0,300.0,34.49456605287061
5,0.1624701980000003,-299.49,300.0,28.616986563882687
6,0.18035723500000067,-299.0,300.0,26.40763839170584
7,0.19712099500000058,-300.47,300.0,23.035503559367058
8,0.21354548900000125,-299.49,300.0,19.797738672856838
9,0.2299333560000001,-301.45,300.0,18.569824264522158
10,0.24631866500000044,-299.29,300.0,14.249873510796618
11,0.26315382800000364,-299.98,300.0,13.21177242231191
12,0.2794113450000033,-299.0,300.0,12.081290992339568
13,0.29542783600000533,-299.29,300.0,10.694176093089775
14,0.311423805000004,-300.27,300.0,10.162013713882455
15,0.32773341900000474,-299.0,300.0,9.11646146132724
16,0.3442992550000028,-296.69,298.55,8.919080478633525
17,0.36028254600000054,-300.47,300.0,7.751875063447226
18,0.3764824779999998,-297.23,299.2,6.274926825144242
19,0.39265210800000006,-265.63,278.82,4.756341212174745
20,0.40903823800000083,-265.96,280.97,4.527897842061643
21,0.42502285100000137,-199.04,236.88,4.026751783934151
22,0.4410067210000008,-170.52,217.52,3.454845681298286
23,0.456945404999999,12.53,62.29,3.0869346398357838
24,0.47305358399999875,14.06,63.59,2.945222141548637
25,0.48910041399999926,12.86,62.2,2.7682580245410033
26,0.5051570689999991,18.57,61.72,2.348788289432667
27,0.5210800069999948,7.97,63.74,1.9235177669815577
28,0.5371522619999993,10.1,63.67,1.876116655376375
29,0.5532278439999985,9.66,65.44,1.6808423868506068
30,0.5693522709999996,11.69,64.01,1.419780150758223
31,0.585351155000005,14.07,63.29,1.1337928178297272
32,0.6013850750000103,11.03,63.01,0.867839350933366
33,0.617339333000011,14.91,62.7,0.6427729350800373
34,0.6333369340000132,11.0,63.69,0.4637955814081689
35,0.6493166890000097,11.28,62.99,0.327655265925868
36,0.6655649490000073,10.99,62.7,0.22746937010671253
37,0.6818066990000062,16.12,63.31,0.15560991024915793
38,0.6979168450000017,16.06,63.6,0.10515349237355665
39,0.7141055179999967,16.44,63.22,0.07035538064856084
40,0.7303129410000011,14.43,63.04,0.046695148128314656
41,0.7466767590000032,15.62,64.81,0.030773298649290126
42,0.7629218169999987,16.82,63.26,0.020136969794780413
43,0.7793637910000015,16.31,62.95,0.013073337539552199
44,0.7954643070000031,13.48,61.65,0.00841094454804292
45,0.8119101850000092,9.35,63.4,0.0053562786824024045
46,0.8281119380000135,14.47,62.88,0.003373184197231538
47,0.8443272330000084,11.86,63.68,0.002099524901181482
48,0.8605968400000066,14.34,63.38,0.0012912152673543176
49,0.8767009520000073,16.17,63.86,0.0007846747445441338
50,0.8928436380000093,13.74,64.2,0.00047130802430750407
51,0.9088800160000119,13.02,63.79,0.0002799109692848134
52,0.92512961300001,9.51,62.73,0.00016445678761733973
53,0.9411682320000097,9.93,62.15,9.564016062846292e-05
54,0.9573929330000084,11.17,63.44,5.508524121999869e-05
55,0.9735181940000075,14.36,63.72,3.1440391301984505e-05
56,0.9896365760000094,16.39,62.38,1.7792852959885863e-05
57,1.005812014000007,16.72,63.1,9.989603634963373e-06
58,1.021936059000005,11.61,63.41,5.567077723256375e-06
59,1.0382407970000074,10.55,63.6,3.0810931157532195e-06
60,1.054284444000011,16.59,61.34,1.6943146494696748e-06
61,1.0703877170000098,11.37,64.48,9.26189642314057e-07
